batch,instance,budget,method,timing_basis,solve_seconds,cloud_excluded_seconds,completion_rows,result,seed,status,feasible,objective,reference_optimum,deviation_percent,bp_lower_bound,bp_gap_percent,earliest_completion_lower_bound,workload_lower_bound,capacity_lower_bound,capacity_bound_seconds,capacity_bound_lp_calls,capacity_bound_lp_status,proof_source,heuristic_returned_columns,reference_gap_percent,first_feasible_seconds,best_found_seconds,wall_seconds,graph_seconds,root_initialization_seconds,node_setup_seconds,branch_seconds,pricing_seconds,nodes_processed,root_lp,root_cg_iterations,restricted_mip_seconds,heuristic_provider,cim_requests,cim_completed,cim_timeouts,cim_size_skips,cim_seconds,cim_local_seconds,tuning_config_sha256,source_sha256,error
cim_active_20260923_184108,2019-03-11_N12_C3,600.0,qaia_tuned,bp_active_excluding_cloud_call,600.0008661000029,0.0,vehicle,2019-03-11_N12_C3_qaia_tuned_s0.json,0,time_limit,1,64.0,61.0,4.918032786885246,61,4.6875,53,61,61,0.009991999999328982,5,complete,,9,4.6875,0.48985150000225985,105.1255364000026,600.0008672999975,0.054768200003309175,0.012517399998614565,202.66442710012052,234.03836629986472,131.90932959978818,5177,61.0,10,0.01408860000083223,qaia,,,,,,,6154abdfa6b91c1947cb9391b1dc68e6b28f10b043df5e76705b7d6d865f7f12,368ba55f3207fb114457881ca4a31587fe1f1603cec146453844dccfb30ae709,Exact pricing reached TimeLimit; node is not certified
cim_active_20260923_184108,2019-03-11_N12_C3,600.0,exact,bp_active_excluding_cloud_call,362.4977805000017,0.0,vehicle,2019-03-11_N12_C3_exact_r0.json,0,optimal,1,61.0,61.0,0.0,61.0,0.0,53,61,61,0.009319699995103292,5,complete,validated_incumbent_matches_global_bound,,0.0,0.5209247000020696,361.7321426999988,362.4977820999993,0.0223002999991877,0.012144200001785066,124.70900640020409,127.14429219997692,83.76490730066143,3957,61.0,8,0.025762900004338007,,,,,,,,,368ba55f3207fb114457881ca4a31587fe1f1603cec146453844dccfb30ae709,
cim_active_20260923_184108,2019-03-11_N12_C3,600.0,qaia_tuned,bp_active_excluding_cloud_call,600.0052679999935,0.0,vehicle,2019-03-11_N12_C3_qaia_tuned_s1.json,1,time_limit,1,63.0,61.0,3.278688524590164,61,3.1746031746031744,53,61,61,0.009695599997940008,5,complete,,8,3.1746031746031744,0.7382218999991892,148.73323609999352,600.0052693000034,0.05334940000466304,0.012168399996880908,202.5704853999341,235.92422440014343,130.45681000024342,5099,61.0,9,0.02579680000053486,qaia,,,,,,,6154abdfa6b91c1947cb9391b1dc68e6b28f10b043df5e76705b7d6d865f7f12,368ba55f3207fb114457881ca4a31587fe1f1603cec146453844dccfb30ae709,Exact pricing: global time budget exhausted
cim_active_20260923_184108,2019-03-11_N12_C3,600.0,cim,bp_active_excluding_cloud_call,600.0494232999918,244.58128850000503,vehicle,2019-03-11_N12_C3_cim_s1.json,1,time_limit,1,62.0,61.0,1.639344262295082,61,1.6129032258064515,53,61,61,0.009018300006573554,5,complete,,3,1.6129032258064515,2.814642899989849,245.21578309999313,844.6307129999987,0.021237000000837725,0.012499399999796879,201.09835790018406,231.96424729991122,134.61916050065338,5008,61.0,8,0.0427927000055206,cim,1,1,0,0,246.9853035999986,2.4040150999935577,,368ba55f3207fb114457881ca4a31587fe1f1603cec146453844dccfb30ae709,After branch construction: global time budget exhausted
cim_active_20260923_184108,2019-03-11_N12_C3,600.0,cim,bp_active_excluding_cloud_call,600.0179419999986,183.8444512999995,vehicle,2019-03-11_N12_C3_cim_s2.json,2,time_limit,1,64.0,61.0,4.918032786885246,61,4.6875,53,61,61,0.00900289999844972,5,complete,,2,4.6875,3.0901151999933063,140.96042169999419,783.8623946000007,0.021582200002740137,0.012438300000212621,186.64910999979475,269.7294478001204,114.34069549967535,4962,61.0,9,0.024440400004095864,cim,1,1,0,0,186.53594379999413,2.691492499994638,,368ba55f3207fb114457881ca4a31587fe1f1603cec146453844dccfb30ae709,After branch construction: global time budget exhausted
cim_active_20260923_184108,2019-03-11_N12_C3,600.0,qaia_tuned,bp_active_excluding_cloud_call,600.0218300000051,0.0,vehicle,2019-03-11_N12_C3_qaia_tuned_s2.json,2,time_limit,1,62.0,61.0,1.639344262295082,61,1.6129032258064515,53,61,61,0.009101199997530784,5,complete,,11,1.6129032258064515,0.762353099999018,581.6148950999996,600.021831099999,0.05667790000006789,0.012252400003490038,194.23581240009662,255.34954920010205,119.8212864001689,4974,61.0,9,0.029750499998044688,qaia,,,,,,,6154abdfa6b91c1947cb9391b1dc68e6b28f10b043df5e76705b7d6d865f7f12,368ba55f3207fb114457881ca4a31587fe1f1603cec146453844dccfb30ae709,After pricing construction: global time budget exhausted
cim_active_20260923_184108,2019-03-11_N16_C4,600.0,compact,bp_active_excluding_cloud_call,0.2539617999937036,0.0,vehicle,2019-03-11_N16_C4_compact.json,0,optimal,1,62.0,62.0,0.0,,,,,,,,,,,0.0,0.020262899997760542,0.2348058999996283,0.25396360000013374,,,,,,,,,,,,,,,,,,368ba55f3207fb114457881ca4a31587fe1f1603cec146453844dccfb30ae709,
cim_active_20260923_184108,2019-03-11_N16_C4,600.0,cim,bp_active_excluding_cloud_call,599.9997132999997,128.08473909999884,vehicle,2019-03-11_N16_C4_cim_s0.json,0,time_limit,1,64.0,62.0,3.225806451612903,62,3.125,53,61,62,0.011425299999245908,5,complete,,3,3.125,8.535986100003356,232.12574129999848,728.0844533999989,0.03174880000005942,0.021120799996424466,192.10328249996383,294.3957183001403,98.29768170008902,2146,62.0,10,0.050070299999788404,cim,1,1,0,0,136.042480600001,7.957741500002157,,368ba55f3207fb114457881ca4a31587fe1f1603cec146453844dccfb30ae709,Exact pricing reached TimeLimit; node is not certified
cim_active_20260923_184108,2019-03-11_N16_C4,600.0,qaia_tuned,bp_active_excluding_cloud_call,604.8031722999949,0.0,vehicle,2019-03-11_N16_C4_qaia_tuned_s0.json,0,time_limit,1,65.0,62.0,4.838709677419355,62,4.615384615384615,53,61,62,0.01243850000173552,5,complete,,14,4.615384615384615,2.144328399997903,528.2437108999948,604.8031734000033,0.0667122999948333,0.01942889999918407,185.8047719998649,291.2461831000692,108.52901560027385,2560,62.0,17,0.06262509999942267,qaia,,,,,,,6154abdfa6b91c1947cb9391b1dc68e6b28f10b043df5e76705b7d6d865f7f12,368ba55f3207fb114457881ca4a31587fe1f1603cec146453844dccfb30ae709,After branch construction: global time budget exhausted
cim_active_20260923_184108,2019-03-11_N16_C4,600.0,exact,bp_active_excluding_cloud_call,600.0033148000002,0.0,vehicle,2019-03-11_N16_C4_exact_r0.json,0,time_limit,1,63.0,62.0,1.6129032258064515,62,1.5873015873015872,53,61,62,0.011578600002394523,5,complete,,,1.5873015873015872,1.1798371999975643,342.15436670000054,600.0033161999963,0.03017849999741884,0.020163000001048204,191.19818500026304,292.7684183001329,98.38704740005778,2446,62.0,8,0.07966049999959068,,,,,,,,,368ba55f3207fb114457881ca4a31587fe1f1603cec146453844dccfb30ae709,列生成在精确定价完成之前达到时间限制
cim_active_20260923_184108,2019-03-11_N16_C4,600.0,qaia_tuned,bp_active_excluding_cloud_call,601.4064995000008,0.0,vehicle,2019-03-11_N16_C4_qaia_tuned_s1.json,1,time_limit,1,65.0,62.0,4.838709677419355,62,4.615384615384615,53,61,62,0.011698700000124518,5,complete,,14,4.615384615384615,2.1741859999965527,524.9455552,601.4065008000034,0.06602810000185855,0.02002090000314638,184.25445689992193,290.7158809999819,107.20431629980885,2560,62.0,17,0.07126720000087516,qaia,,,,,,,6154abdfa6b91c1947cb9391b1dc68e6b28f10b043df5e76705b7d6d865f7f12,368ba55f3207fb114457881ca4a31587fe1f1603cec146453844dccfb30ae709,After branch construction: global time budget exhausted
