batch,instance,budget,completion_rows,method,result,seed,seconds,objective,source,timing_basis,wall_seconds,cloud_excluded_seconds
cim_active_20260923_184108,2019-03-11_N8_C2,600.0,vehicle,cim,2019-03-11_N8_C2_cim_s1.json,1,178.2841763999968,66.0,rmp_integer,bp_active_excluding_cloud_call,421.1080892999962,242.82391060000373
cim_active_20260923_184108,2019-03-11_N8_C2,600.0,vehicle,cim,2019-03-11_N8_C2_cim_s2.json,2,1.5400985999949626,78.0,restricted_mip,bp_active_excluding_cloud_call,606.5761241,605.0360235999979
cim_active_20260923_184108,2019-03-11_N8_C2,600.0,vehicle,cim,2019-03-11_N8_C2_cim_s2.json,2,3.7773604999965755,76.0,rmp_integer,bp_active_excluding_cloud_call,608.8133861000024,605.0360235999979
cim_active_20260923_184108,2019-03-11_N8_C2,600.0,vehicle,cim,2019-03-11_N8_C2_cim_s2.json,2,5.130596399998467,68.0,rmp_integer,bp_active_excluding_cloud_call,610.166622100005,605.0360235999979
cim_active_20260923_184108,2019-03-11_N8_C2,600.0,vehicle,cim,2019-03-11_N8_C2_cim_s2.json,2,10.444374200000311,67.0,rmp_integer,bp_active_excluding_cloud_call,615.4804000000004,605.0360235999979
cim_active_20260923_184108,2019-03-11_N8_C2,600.0,vehicle,cim,2019-03-11_N8_C2_cim_s2.json,2,173.369887199995,66.0,rmp_integer,bp_active_excluding_cloud_call,778.4059128000008,605.0360235999979
cim_active_20260923_184108,2019-03-11_N8_C2,600.0,vehicle,qaia_tuned,2019-03-11_N8_C2_qaia_tuned_s2.json,2,0.2233012999931816,70.0,rmp_integer,bp_active_excluding_cloud_call,0.22330299999885028,0.0
cim_active_20260923_184108,2019-03-11_N8_C2,600.0,vehicle,qaia_tuned,2019-03-11_N8_C2_qaia_tuned_s2.json,2,5.6522469999981695,68.0,rmp_integer,bp_active_excluding_cloud_call,5.652248700003838,0.0
cim_active_20260923_184108,2019-03-11_N8_C2,600.0,vehicle,qaia_tuned,2019-03-11_N8_C2_qaia_tuned_s2.json,2,7.252846999996109,66.0,rmp_integer,bp_active_excluding_cloud_call,7.252848600001016,0.0
cim_active_20260923_184108,2019-03-11_N12_C3,600.0,vehicle,compact,2019-03-11_N12_C3_compact.json,0,0.014475199997832533,76.0,compact_mipsol,bp_active_excluding_cloud_call,0.014477199998509604,0.0
cim_active_20260923_184108,2019-03-11_N12_C3,600.0,vehicle,compact,2019-03-11_N12_C3_compact.json,0,0.050577800000610296,70.0,compact_mipsol,bp_active_excluding_cloud_call,0.05057989999477286,0.0
cim_active_20260923_184108,2019-03-11_N12_C3,600.0,vehicle,compact,2019-03-11_N12_C3_compact.json,0,0.05378960000234656,61.0,compact_mipsol,bp_active_excluding_cloud_call,0.053791499994986225,0.0
