batch,instance,budget,method,timing_basis,completion_rows,runs,feasible,feasible_rate,errors,optimal,median_all,median_conditional,median_bp_gap_percent,median_reference_gap_percent,median_first_feasible_conditional,reference_optimum
cim_active_20260923_184108,2019-03-13_N8_C2,600.0,compact,bp_active_excluding_cloud_call,vehicle,1,1,1.0,0,1,64.0,64.0,,0.0,0.010077699997054879,64.0
cim_active_20260923_184108,2019-03-13_N8_C2,600.0,cim,bp_active_excluding_cloud_call,vehicle,3,0,0.0,3,0,,,,,,64.0
cim_active_20260923_184108,2019-03-13_N8_C2,600.0,qaia_tuned,bp_active_excluding_cloud_call,vehicle,3,3,1.0,0,3,64.0,64.0,0.0,0.0,0.37915780000184895,64.0
cim_active_20260923_184108,2019-03-13_N8_C2,600.0,exact,bp_active_excluding_cloud_call,vehicle,1,1,1.0,0,1,64.0,64.0,0.0,0.0,0.21116120000078809,64.0
cim_active_20260923_184108,2019-03-13_N12_C3,600.0,compact,bp_active_excluding_cloud_call,vehicle,1,1,1.0,0,1,65.0,65.0,,0.0,0.013939399999799207,65.0
cim_active_20260923_184108,2019-03-13_N12_C3,600.0,cim,bp_active_excluding_cloud_call,vehicle,3,3,1.0,0,3,65.0,65.0,0.0,0.0,2.0260817000089446,65.0
cim_active_20260923_184108,2019-03-13_N12_C3,600.0,qaia_tuned,bp_active_excluding_cloud_call,vehicle,3,3,1.0,0,3,65.0,65.0,0.0,0.0,0.47482870000385446,65.0
cim_active_20260923_184108,2019-03-13_N12_C3,600.0,exact,bp_active_excluding_cloud_call,vehicle,1,1,1.0,0,1,65.0,65.0,0.0,0.0,0.5095551999984309,65.0
cim_active_20260923_184108,2019-03-13_N16_C4,600.0,compact,bp_active_excluding_cloud_call,vehicle,1,1,1.0,0,1,63.0,63.0,,0.0,0.02046870000049239,63.0
cim_active_20260923_184108,2019-03-13_N16_C4,600.0,cim,bp_active_excluding_cloud_call,vehicle,3,0,0.0,3,0,,,,,,63.0
cim_active_20260923_184108,2019-03-13_N16_C4,600.0,qaia_tuned,bp_active_excluding_cloud_call,vehicle,3,3,1.0,0,0,65.0,65.0,3.076923076923077,3.076923076923077,1.499677800005884,63.0
cim_active_20260923_184108,2019-03-13_N16_C4,600.0,exact,bp_active_excluding_cloud_call,vehicle,1,1,1.0,0,0,65.0,65.0,3.076923076923077,3.076923076923077,0.6080473000038182,63.0
cim_active_20260923_184108,2019-03-13_N20_C5,600.0,compact,bp_active_excluding_cloud_call,vehicle,1,1,1.0,0,1,61.0,61.0,,0.0,0.027481199998874217,61.0
cim_active_20260923_184108,2019-03-13_N20_C5,600.0,cim,bp_active_excluding_cloud_call,vehicle,3,3,1.0,0,0,68.0,68.0,10.294117647058824,10.294117647058824,20.739775800000643,61.0
cim_active_20260923_184108,2019-03-13_N20_C5,600.0,qaia_tuned,bp_active_excluding_cloud_call,vehicle,3,3,1.0,0,0,67.0,67.0,8.955223880597014,8.955223880597014,2.945168399994145,61.0
cim_active_20260923_184108,2019-03-13_N20_C5,600.0,exact,bp_active_excluding_cloud_call,vehicle,1,1,1.0,0,0,70.0,70.0,12.857142857142858,12.857142857142858,2.23736280000594,61.0
