batch,instance,budget,completion_rows,checkpoint,method,seed,exact_repeat,method_objective,exact_objective,delta_vs_exact,outcome
acn_scale_v4_pilot,2019-03-05_N20_C5,60.0,vehicle,10.0,qaia_200_10,0,0,72.0,76.0,-4.0,method
acn_scale_v4_pilot,2019-03-05_N20_C5,60.0,vehicle,10.0,qaia_200_10,1,1,74.0,76.0,-2.0,method
acn_scale_v4_pilot,2019-03-05_N20_C5,60.0,vehicle,10.0,qaia_200_10,2,2,72.0,76.0,-4.0,method
acn_scale_v4_pilot,2019-03-05_N20_C5,60.0,vehicle,10.0,greedy_4,0,0,67.0,76.0,-9.0,method
acn_scale_v4_pilot,2019-03-05_N20_C5,60.0,vehicle,10.0,greedy_4,1,1,68.0,76.0,-8.0,method
acn_scale_v4_pilot,2019-03-05_N20_C5,60.0,vehicle,10.0,greedy_4,2,2,72.0,76.0,-4.0,method
acn_scale_v4_pilot,2019-03-05_N20_C5,60.0,vehicle,10.0,greedy_10,0,0,70.0,76.0,-6.0,method
acn_scale_v4_pilot,2019-03-05_N20_C5,60.0,vehicle,10.0,greedy_10,1,1,71.0,76.0,-5.0,method
acn_scale_v4_pilot,2019-03-05_N20_C5,60.0,vehicle,10.0,greedy_10,2,2,72.0,76.0,-4.0,method
acn_scale_v4_pilot,2019-03-05_N20_C5,60.0,vehicle,30.0,qaia_50_4,0,0,70.0,76.0,-6.0,method
acn_scale_v4_pilot,2019-03-05_N20_C5,60.0,vehicle,30.0,qaia_50_4,1,1,70.0,76.0,-6.0,method
acn_scale_v4_pilot,2019-03-05_N20_C5,60.0,vehicle,30.0,qaia_50_4,2,2,70.0,76.0,-6.0,method
acn_scale_v4_pilot,2019-03-05_N20_C5,60.0,vehicle,30.0,qaia_200_10,0,0,72.0,76.0,-4.0,method
acn_scale_v4_pilot,2019-03-05_N20_C5,60.0,vehicle,30.0,qaia_200_10,1,1,74.0,76.0,-2.0,method
acn_scale_v4_pilot,2019-03-05_N20_C5,60.0,vehicle,30.0,qaia_200_10,2,2,72.0,76.0,-4.0,method
acn_scale_v4_pilot,2019-03-05_N20_C5,60.0,vehicle,30.0,greedy_4,0,0,67.0,76.0,-9.0,method
acn_scale_v4_pilot,2019-03-05_N20_C5,60.0,vehicle,30.0,greedy_4,1,1,68.0,76.0,-8.0,method
acn_scale_v4_pilot,2019-03-05_N20_C5,60.0,vehicle,30.0,greedy_4,2,2,71.0,76.0,-5.0,method
acn_scale_v4_pilot,2019-03-05_N20_C5,60.0,vehicle,30.0,greedy_10,0,0,70.0,76.0,-6.0,method
acn_scale_v4_pilot,2019-03-05_N20_C5,60.0,vehicle,30.0,greedy_10,1,1,70.0,76.0,-6.0,method
acn_scale_v4_pilot,2019-03-05_N20_C5,60.0,vehicle,30.0,greedy_10,2,2,72.0,76.0,-4.0,method
acn_scale_v4_pilot,2019-03-05_N20_C5,60.0,vehicle,60.0,qaia_50_4,0,0,70.0,76.0,-6.0,method
acn_scale_v4_pilot,2019-03-05_N20_C5,60.0,vehicle,60.0,qaia_50_4,1,1,70.0,76.0,-6.0,method
acn_scale_v4_pilot,2019-03-05_N20_C5,60.0,vehicle,60.0,qaia_50_4,2,2,70.0,76.0,-6.0,method
acn_scale_v4_pilot,2019-03-05_N20_C5,60.0,vehicle,60.0,qaia_200_10,0,0,72.0,76.0,-4.0,method
acn_scale_v4_pilot,2019-03-05_N20_C5,60.0,vehicle,60.0,qaia_200_10,1,1,74.0,76.0,-2.0,method
acn_scale_v4_pilot,2019-03-05_N20_C5,60.0,vehicle,60.0,qaia_200_10,2,2,72.0,76.0,-4.0,method
acn_scale_v4_pilot,2019-03-05_N20_C5,60.0,vehicle,60.0,greedy_4,0,0,67.0,76.0,-9.0,method
acn_scale_v4_pilot,2019-03-05_N20_C5,60.0,vehicle,60.0,greedy_4,1,1,68.0,76.0,-8.0,method
acn_scale_v4_pilot,2019-03-05_N20_C5,60.0,vehicle,60.0,greedy_4,2,2,71.0,76.0,-5.0,method
acn_scale_v4_pilot,2019-03-05_N20_C5,60.0,vehicle,60.0,greedy_10,0,0,70.0,76.0,-6.0,method
acn_scale_v4_pilot,2019-03-05_N20_C5,60.0,vehicle,60.0,greedy_10,1,1,70.0,76.0,-6.0,method
acn_scale_v4_pilot,2019-03-05_N20_C5,60.0,vehicle,60.0,greedy_10,2,2,72.0,76.0,-4.0,method
