batch,instance,budget,timing_basis,completion_rows,checkpoint,method,runs,feasible,feasible_rate,median_all,median_conditional,reference_optimum
cim_active_20260923_184108,2019-03-13_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,30.0,compact,1,1,1.0,61.0,61.0,61.0
cim_active_20260923_184108,2019-03-13_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,30.0,cim,3,3,1.0,71.0,71.0,61.0
cim_active_20260923_184108,2019-03-13_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,30.0,qaia_tuned,3,3,1.0,74.0,74.0,61.0
cim_active_20260923_184108,2019-03-13_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,30.0,exact,1,1,1.0,79.0,79.0,61.0
cim_active_20260923_184108,2019-03-13_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,120.0,compact,1,1,1.0,61.0,61.0,61.0
cim_active_20260923_184108,2019-03-13_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,120.0,cim,3,3,1.0,71.0,71.0,61.0
cim_active_20260923_184108,2019-03-13_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,120.0,qaia_tuned,3,3,1.0,74.0,74.0,61.0
cim_active_20260923_184108,2019-03-13_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,120.0,exact,1,1,1.0,70.0,70.0,61.0
cim_active_20260923_184108,2019-03-13_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,600.0,compact,1,1,1.0,61.0,61.0,61.0
cim_active_20260923_184108,2019-03-13_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,600.0,cim,3,3,1.0,68.0,68.0,61.0
cim_active_20260923_184108,2019-03-13_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,600.0,qaia_tuned,3,3,1.0,67.0,67.0,61.0
cim_active_20260923_184108,2019-03-13_N20_C5,600.0,bp_active_excluding_cloud_call,vehicle,600.0,exact,1,1,1.0,70.0,70.0,61.0
