batch,instance,budget,method,completion_rows,result,seed,status,feasible,objective,reference_optimum,deviation_percent,first_feasible_seconds,best_found_seconds,wall_seconds,graph_seconds,root_initialization_seconds,node_setup_seconds,branch_seconds,pricing_seconds,nodes_processed,root_lp,root_cg_iterations,restricted_mip_seconds,source_sha256,error
model_v3_vertex,2019-03-05_N8_C2,60.0,qaia_50_4,vertex,2019-03-05_N8_C2_qaia_50_4_s2.json,2,time_limit,1,49.0,44.0,11.363636363636363,0.15523659999962547,0.15523659999962547,59.995708899999954,0.007137300000067626,0.04923770000004879,19.764320299990686,28.287662499998078,6.867505400030495,1234,3.6020574511703938,52,0.030972300000030373,6d74e24d947418621d93b563cf5d476965ecd6c5c5b53569bc3ee7919afe6f0b,Exact pricing reached TimeLimit; node is not certified
model_v3_vertex,2019-03-05_N8_C2,60.0,qaia_200_10,vertex,2019-03-05_N8_C2_qaia_200_10_s2.json,2,time_limit,1,48.0,44.0,9.090909090909092,0.653642299999774,0.6584679999996297,59.99955769999997,0.0074084000007133,0.04872030000024097,20.753455999995822,27.165442299997267,6.942352300002312,1246,3.602057451170395,44,0.04513760000008915,6d74e24d947418621d93b563cf5d476965ecd6c5c5b53569bc3ee7919afe6f0b,Exact pricing reached TimeLimit; node is not certified
model_v3_vertex,2019-03-05_N8_C2,60.0,greedy_4,vertex,2019-03-05_N8_C2_greedy_4_s2.json,2,time_limit,1,46.0,44.0,4.545454545454546,0.3809323999994376,0.3883436999994956,60.00875469999937,0.007090500000231259,0.013587599999482336,20.63291899999149,27.45719590000499,6.834916199998588,1253,3.602057451170394,33,0.03340870000010909,6d74e24d947418621d93b563cf5d476965ecd6c5c5b53569bc3ee7919afe6f0b,After pricing construction: global time budget exhausted
model_v3_vertex,2019-03-05_N8_C2,60.0,greedy_10,vertex,2019-03-05_N8_C2_greedy_10_s2.json,2,time_limit,1,49.0,44.0,11.363636363636363,0.37833969999974215,0.3961442999998326,60.001288399999794,0.0072624000003997935,0.013557100000070932,20.907736299988755,27.3711217999944,6.640368000004855,1154,3.602057451170395,29,0.038475499999549356,6d74e24d947418621d93b563cf5d476965ecd6c5c5b53569bc3ee7919afe6f0b,After master construction: global time budget exhausted
model_v3_vertex,2019-03-05_N8_C2,60.0,exact,vertex,2019-03-05_N8_C2_exact_r2.json,0,time_limit,1,47.0,44.0,6.818181818181818,0.1280406000005314,0.1280406000005314,60.00534990000051,0.0084631999998237,0.014330400000289956,20.61568120000902,28.172549400001117,6.640407300015795,975,3.6020574511703947,51,0.032090500000776956,6d74e24d947418621d93b563cf5d476965ecd6c5c5b53569bc3ee7919afe6f0b,列生成在精确定价完成之前达到时间限制
model_v3_vertex,2019-03-05_N12_C3,60.0,compact,vertex,2019-03-05_N12_C3_compact.json,0,optimal,1,67.0,67.0,0.0,0.012494600000536593,0.03019120000044495,0.032643800000187184,,,,,,,,,,6d74e24d947418621d93b563cf5d476965ecd6c5c5b53569bc3ee7919afe6f0b,
model_v3_vertex,2019-03-05_N12_C3,60.0,qaia_50_4,vertex,2019-03-05_N12_C3_qaia_50_4_s0.json,0,optimal,1,67.0,67.0,0.0,0.2777716999999029,0.6339109000000462,0.6456807999993543,0.054070400000455265,0.011529500000506232,0.08971620000011171,0.0,0.42954609999924287,1,19.246753246753247,20,0.01319210000019666,6d74e24d947418621d93b563cf5d476965ecd6c5c5b53569bc3ee7919afe6f0b,
model_v3_vertex,2019-03-05_N12_C3,60.0,qaia_200_10,vertex,2019-03-05_N12_C3_qaia_200_10_s0.json,0,time_limit,1,68.0,67.0,1.492537313432836,0.8489760000002207,0.8614692999999534,60.06371760000002,0.052852299999358365,0.011813699999947858,20.59631389999322,31.98438430000897,5.456939499998043,417,19.246753246753247,19,0.02006630000050791,6d74e24d947418621d93b563cf5d476965ecd6c5c5b53569bc3ee7919afe6f0b,After pricing construction: global time budget exhausted
model_v3_vertex,2019-03-05_N12_C3,60.0,greedy_4,vertex,2019-03-05_N12_C3_greedy_4_s0.json,0,optimal,1,67.0,67.0,0.0,0.41824020000058226,0.42323510000005626,0.4309614000003421,0.018584399999781454,0.01077999999961321,0.0907113000002937,0.0,0.2780049999992116,1,19.246753246753247,14,0.012243000000125903,6d74e24d947418621d93b563cf5d476965ecd6c5c5b53569bc3ee7919afe6f0b,
model_v3_vertex,2019-03-05_N12_C3,60.0,greedy_10,vertex,2019-03-05_N12_C3_greedy_10_s0.json,0,optimal,1,67.0,67.0,0.0,0.20407650000015565,11.536323000000266,11.571516800000609,0.018708600000536535,0.01094210000064777,3.9883215999943786,6.01326479999716,1.2292408999919644,48,19.246753246753247,11,0.010573399999884714,6d74e24d947418621d93b563cf5d476965ecd6c5c5b53569bc3ee7919afe6f0b,
model_v3_vertex,2019-03-05_N12_C3,60.0,exact,vertex,2019-03-05_N12_C3_exact_r0.json,0,time_limit,1,68.0,67.0,1.492537313432836,0.22802409999985684,0.40313400000013644,60.00602270000036,0.017859900000075868,0.01100399999995716,26.111385500000324,27.346267699993405,5.028471299988269,133,19.246753246753247,13,0.0189594000003126,6d74e24d947418621d93b563cf5d476965ecd6c5c5b53569bc3ee7919afe6f0b,After branch construction: global time budget exhausted
model_v3_vertex,2019-03-05_N12_C3,60.0,exact,vertex,2019-03-05_N12_C3_exact_r1.json,0,time_limit,1,68.0,67.0,1.492537313432836,0.2235649000003832,0.3995409999997719,60.127577199999905,0.020345199999610486,0.010885000000598666,26.915386799999396,26.25397840000005,5.481016699994143,88,19.246753246753247,13,0.022101399999883142,6d74e24d947418621d93b563cf5d476965ecd6c5c5b53569bc3ee7919afe6f0b,After branch construction: global time budget exhausted
model_v3_vertex,2019-03-05_N12_C3,60.0,greedy_10,vertex,2019-03-05_N12_C3_greedy_10_s1.json,1,optimal,1,67.0,67.0,0.0,0.18789579999975103,0.18789579999975103,0.4078197999997428,0.022060100000089733,0.01277340000069671,0.09819289999995817,0.0,0.23939640000207874,1,19.246753246753247,12,0.01198350000049686,6d74e24d947418621d93b563cf5d476965ecd6c5c5b53569bc3ee7919afe6f0b,
model_v3_vertex,2019-03-05_N12_C3,60.0,greedy_4,vertex,2019-03-05_N12_C3_greedy_4_s1.json,1,optimal,1,67.0,67.0,0.0,0.2583484999995562,20.210953799999515,20.294974399999774,0.02318199999990611,0.012280399999326619,8.860309000004236,8.874400799999421,2.0262114999932237,30,19.246753246753247,13,0.012597299999470124,6d74e24d947418621d93b563cf5d476965ecd6c5c5b53569bc3ee7919afe6f0b,
model_v3_vertex,2019-03-05_N12_C3,60.0,qaia_200_10,vertex,2019-03-05_N12_C3_qaia_200_10_s1.json,1,optimal,1,67.0,67.0,0.0,2.5698270000002594,2.592557200000556,2.6140027000001282,0.12690020000081859,0.029804900000272028,0.4074458999994022,0.0,1.9161307000003944,1,19.246753246753247,18,0.043456399999740825,6d74e24d947418621d93b563cf5d476965ecd6c5c5b53569bc3ee7919afe6f0b,
model_v3_vertex,2019-03-05_N12_C3,60.0,qaia_50_4,vertex,2019-03-05_N12_C3_qaia_50_4_s1.json,1,optimal,1,67.0,67.0,0.0,0.814295499999389,1.7432404999999562,1.7761866000000737,0.12020120000033785,0.02828380000028119,0.3942221999996036,0.0,1.0942883000016081,1,19.246753246753247,20,0.04145340000013675,6d74e24d947418621d93b563cf5d476965ecd6c5c5b53569bc3ee7919afe6f0b,
