batch,instance,budget,completion_rows,method,result,seed,seconds,objective,source
model_v3_vehicle,2019-03-05_N12_C3,60.0,vehicle,qaia_50_4,2019-03-05_N12_C3_qaia_50_4_s1.json,1,12.460765800000445,67.0,rmp_integer
model_v3_vehicle,2019-03-05_N12_C3,60.0,vehicle,qaia_50_4,2019-03-05_N12_C3_qaia_50_4_s2.json,2,0.33560920000127226,74.0,restricted_mip
model_v3_vehicle,2019-03-05_N12_C3,60.0,vehicle,qaia_50_4,2019-03-05_N12_C3_qaia_50_4_s2.json,2,0.3404362000001129,70.0,restricted_mip
model_v3_vehicle,2019-03-05_N12_C3,60.0,vehicle,qaia_50_4,2019-03-05_N12_C3_qaia_50_4_s2.json,2,10.080452800000785,69.0,rmp_integer
model_v3_vehicle,2019-03-05_N12_C3,60.0,vehicle,qaia_50_4,2019-03-05_N12_C3_qaia_50_4_s2.json,2,12.275368500000695,67.0,rmp_integer
model_v3_vehicle,2019-03-05_N12_C3,60.0,vehicle,qaia_200_10,2019-03-05_N12_C3_qaia_200_10_s2.json,2,0.2892717000013363,67.0,rmp_integer
model_v3_vehicle,2019-03-05_N12_C3,60.0,vehicle,greedy_4,2019-03-05_N12_C3_greedy_4_s2.json,2,0.3534515999999712,69.0,restricted_mip
model_v3_vehicle,2019-03-05_N12_C3,60.0,vehicle,greedy_4,2019-03-05_N12_C3_greedy_4_s2.json,2,6.311284800000067,67.0,rmp_integer
model_v3_vehicle,2019-03-05_N12_C3,60.0,vehicle,greedy_10,2019-03-05_N12_C3_greedy_10_s2.json,2,0.20517839999956777,73.0,rmp_integer
model_v3_vehicle,2019-03-05_N12_C3,60.0,vehicle,greedy_10,2019-03-05_N12_C3_greedy_10_s2.json,2,4.239239800001087,69.0,rmp_integer
model_v3_vehicle,2019-03-05_N12_C3,60.0,vehicle,greedy_10,2019-03-05_N12_C3_greedy_10_s2.json,2,7.574397399999725,68.0,rmp_integer
model_v3_vehicle,2019-03-05_N12_C3,60.0,vehicle,greedy_10,2019-03-05_N12_C3_greedy_10_s2.json,2,23.91262199999983,67.0,rmp_integer
model_v3_vehicle,2019-03-05_N12_C3,60.0,vehicle,exact,2019-03-05_N12_C3_exact_r2.json,0,0.28641960000095423,76.0,restricted_mip
model_v3_vehicle,2019-03-05_N12_C3,60.0,vehicle,exact,2019-03-05_N12_C3_exact_r2.json,0,0.2916449999993347,73.0,restricted_mip
model_v3_vehicle,2019-03-05_N12_C3,60.0,vehicle,exact,2019-03-05_N12_C3_exact_r2.json,0,2.8696383999995305,70.0,rmp_integer
model_v3_vehicle,2019-03-05_N12_C3,60.0,vehicle,exact,2019-03-05_N12_C3_exact_r2.json,0,8.284705699999904,68.0,rmp_integer
model_v3_vehicle,2019-03-05_N12_C3,60.0,vehicle,exact,2019-03-05_N12_C3_exact_r2.json,0,21.959463799999867,67.0,rmp_integer
