batch,instance,budget,completion_rows,method,result,seed,seconds,objective,source
model_v3_vertex,2019-03-05_N8_C2,60.0,vertex,greedy_4,2019-03-05_N8_C2_greedy_4_s2.json,2,0.3865379999997458,47.0,restricted_mip
model_v3_vertex,2019-03-05_N8_C2,60.0,vertex,greedy_4,2019-03-05_N8_C2_greedy_4_s2.json,2,0.3883436999994956,46.0,restricted_mip
model_v3_vertex,2019-03-05_N8_C2,60.0,vertex,greedy_10,2019-03-05_N8_C2_greedy_10_s2.json,2,0.37833969999974215,74.0,restricted_mip
model_v3_vertex,2019-03-05_N8_C2,60.0,vertex,greedy_10,2019-03-05_N8_C2_greedy_10_s2.json,2,0.38495630000034,57.0,restricted_mip
model_v3_vertex,2019-03-05_N8_C2,60.0,vertex,greedy_10,2019-03-05_N8_C2_greedy_10_s2.json,2,0.38695350000034523,53.0,restricted_mip
model_v3_vertex,2019-03-05_N8_C2,60.0,vertex,greedy_10,2019-03-05_N8_C2_greedy_10_s2.json,2,0.38893759999973554,50.0,restricted_mip
model_v3_vertex,2019-03-05_N8_C2,60.0,vertex,greedy_10,2019-03-05_N8_C2_greedy_10_s2.json,2,0.3961442999998326,49.0,restricted_mip
model_v3_vertex,2019-03-05_N8_C2,60.0,vertex,exact,2019-03-05_N8_C2_exact_r2.json,0,0.1280406000005314,47.0,rmp_integer
model_v3_vertex,2019-03-05_N12_C3,60.0,vertex,compact,2019-03-05_N12_C3_compact.json,0,0.012494600000536593,68.0,compact_mipsol
model_v3_vertex,2019-03-05_N12_C3,60.0,vertex,compact,2019-03-05_N12_C3_compact.json,0,0.03019120000044495,67.0,compact_mipsol
model_v3_vertex,2019-03-05_N12_C3,60.0,vertex,qaia_50_4,2019-03-05_N12_C3_qaia_50_4_s0.json,0,0.2777716999999029,74.0,rmp_integer
model_v3_vertex,2019-03-05_N12_C3,60.0,vertex,qaia_50_4,2019-03-05_N12_C3_qaia_50_4_s0.json,0,0.6312842999996064,68.0,restricted_mip
model_v3_vertex,2019-03-05_N12_C3,60.0,vertex,qaia_50_4,2019-03-05_N12_C3_qaia_50_4_s0.json,0,0.6339109000000462,67.0,restricted_mip
model_v3_vertex,2019-03-05_N12_C3,60.0,vertex,qaia_200_10,2019-03-05_N12_C3_qaia_200_10_s0.json,0,0.8489760000002207,74.0,restricted_mip
model_v3_vertex,2019-03-05_N12_C3,60.0,vertex,qaia_200_10,2019-03-05_N12_C3_qaia_200_10_s0.json,0,0.8614692999999534,68.0,restricted_mip
model_v3_vertex,2019-03-05_N12_C3,60.0,vertex,greedy_4,2019-03-05_N12_C3_greedy_4_s0.json,0,0.41824020000058226,72.0,restricted_mip
model_v3_vertex,2019-03-05_N12_C3,60.0,vertex,greedy_4,2019-03-05_N12_C3_greedy_4_s0.json,0,0.42323510000005626,67.0,restricted_mip
model_v3_vertex,2019-03-05_N12_C3,60.0,vertex,greedy_10,2019-03-05_N12_C3_greedy_10_s0.json,0,0.20407650000015565,70.0,rmp_integer
model_v3_vertex,2019-03-05_N12_C3,60.0,vertex,greedy_10,2019-03-05_N12_C3_greedy_10_s0.json,0,10.727145400000154,69.0,rmp_integer
model_v3_vertex,2019-03-05_N12_C3,60.0,vertex,greedy_10,2019-03-05_N12_C3_greedy_10_s0.json,0,11.536323000000266,67.0,rmp_integer
model_v3_vertex,2019-03-05_N12_C3,60.0,vertex,exact,2019-03-05_N12_C3_exact_r0.json,0,0.22802409999985684,76.0,rmp_integer
model_v3_vertex,2019-03-05_N12_C3,60.0,vertex,exact,2019-03-05_N12_C3_exact_r0.json,0,0.3967467000002216,73.0,restricted_mip
model_v3_vertex,2019-03-05_N12_C3,60.0,vertex,exact,2019-03-05_N12_C3_exact_r0.json,0,0.40313400000013644,68.0,restricted_mip
model_v3_vertex,2019-03-05_N12_C3,60.0,vertex,exact,2019-03-05_N12_C3_exact_r1.json,0,0.2235649000003832,76.0,rmp_integer
model_v3_vertex,2019-03-05_N12_C3,60.0,vertex,exact,2019-03-05_N12_C3_exact_r1.json,0,0.3914082999999664,73.0,restricted_mip
model_v3_vertex,2019-03-05_N12_C3,60.0,vertex,exact,2019-03-05_N12_C3_exact_r1.json,0,0.3995409999997719,68.0,restricted_mip
model_v3_vertex,2019-03-05_N12_C3,60.0,vertex,greedy_10,2019-03-05_N12_C3_greedy_10_s1.json,1,0.18789579999975103,67.0,rmp_integer
model_v3_vertex,2019-03-05_N12_C3,60.0,vertex,greedy_4,2019-03-05_N12_C3_greedy_4_s1.json,1,0.2583484999995562,74.0,rmp_integer
model_v3_vertex,2019-03-05_N12_C3,60.0,vertex,greedy_4,2019-03-05_N12_C3_greedy_4_s1.json,1,0.48142529999950057,73.0,restricted_mip
model_v3_vertex,2019-03-05_N12_C3,60.0,vertex,greedy_4,2019-03-05_N12_C3_greedy_4_s1.json,1,20.210953799999515,67.0,rmp_integer
model_v3_vertex,2019-03-05_N12_C3,60.0,vertex,qaia_200_10,2019-03-05_N12_C3_qaia_200_10_s1.json,1,2.5698270000002594,70.0,restricted_mip
model_v3_vertex,2019-03-05_N12_C3,60.0,vertex,qaia_200_10,2019-03-05_N12_C3_qaia_200_10_s1.json,1,2.592557200000556,67.0,restricted_mip
model_v3_vertex,2019-03-05_N12_C3,60.0,vertex,qaia_50_4,2019-03-05_N12_C3_qaia_50_4_s1.json,1,0.814295499999389,74.0,rmp_integer
model_v3_vertex,2019-03-05_N12_C3,60.0,vertex,qaia_50_4,2019-03-05_N12_C3_qaia_50_4_s1.json,1,1.7345273999999336,68.0,restricted_mip
model_v3_vertex,2019-03-05_N12_C3,60.0,vertex,qaia_50_4,2019-03-05_N12_C3_qaia_50_4_s1.json,1,1.7432404999999562,67.0,restricted_mip
model_v3_vertex,2019-03-05_N12_C3,60.0,vertex,qaia_50_4,2019-03-05_N12_C3_qaia_50_4_s2.json,2,0.8423657000003004,74.0,rmp_integer
model_v3_vertex,2019-03-05_N12_C3,60.0,vertex,qaia_50_4,2019-03-05_N12_C3_qaia_50_4_s2.json,2,1.811888700000054,68.0,restricted_mip
model_v3_vertex,2019-03-05_N12_C3,60.0,vertex,qaia_50_4,2019-03-05_N12_C3_qaia_50_4_s2.json,2,1.8194917000000714,67.0,restricted_mip
model_v3_vertex,2019-03-05_N12_C3,60.0,vertex,qaia_200_10,2019-03-05_N12_C3_qaia_200_10_s2.json,2,2.6285987000001114,67.0,restricted_mip
model_v3_vertex,2019-03-05_N12_C3,60.0,vertex,greedy_4,2019-03-05_N12_C3_greedy_4_s2.json,2,0.5176259999998365,69.0,restricted_mip
model_v3_vertex,2019-03-05_N12_C3,60.0,vertex,greedy_4,2019-03-05_N12_C3_greedy_4_s2.json,2,0.5227656000006391,67.0,restricted_mip
model_v3_vertex,2019-03-05_N12_C3,60.0,vertex,greedy_10,2019-03-05_N12_C3_greedy_10_s2.json,2,0.21315749999939726,70.0,rmp_integer
model_v3_vertex,2019-03-05_N12_C3,60.0,vertex,greedy_10,2019-03-05_N12_C3_greedy_10_s2.json,2,59.50411470000017,68.0,rmp_integer
model_v3_vertex,2019-03-05_N12_C3,60.0,vertex,exact,2019-03-05_N12_C3_exact_r2.json,0,0.22955840000031458,76.0,rmp_integer
model_v3_vertex,2019-03-05_N12_C3,60.0,vertex,exact,2019-03-05_N12_C3_exact_r2.json,0,0.38973970000006375,73.0,restricted_mip
model_v3_vertex,2019-03-05_N12_C3,60.0,vertex,exact,2019-03-05_N12_C3_exact_r2.json,0,0.39674680000007356,68.0,restricted_mip
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,compact,2019-03-05_N8_C2_compact.json,0,0.011034499999368563,68.0,compact_mipsol
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,compact,2019-03-05_N8_C2_compact.json,0,0.02660719999948924,45.0,compact_mipsol
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,compact,2019-03-05_N8_C2_compact.json,0,0.02746690000003582,44.0,compact_mipsol
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,qaia_50_4,2019-03-05_N8_C2_qaia_50_4_s0.json,0,0.5362021999999342,49.0,rmp_integer
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,qaia_50_4,2019-03-05_N8_C2_qaia_50_4_s0.json,0,1.2961138000000574,48.0,restricted_mip
model_v3_vehicle,2019-03-05_N8_C2,60.0,vehicle,qaia_50_4,2019-03-05_N8_C2_qaia_50_4_s0.json,0,1.312580899999375,47.0,restricted_mip
