batch,instance,budget,method,result,seed,status,feasible,objective,reference_optimum,deviation_percent,first_feasible_seconds,best_found_seconds,wall_seconds,graph_seconds,root_initialization_seconds,node_setup_seconds,branch_seconds,pricing_seconds,restricted_mip_seconds,source_sha256,error
scale_v2_baseline,2019-03-05_N8_C2,60.0,qaia_200_10,2019-03-05_N8_C2_qaia_200_10_s2.json,2,time_limit,1,48.0,44.0,9.090909090909092,0.8059023999999226,0.8108439999998609,60.048642900000004,0.012361399999917921,0.08183729999996103,21.05909329999872,26.92251889999784,6.992099900006679,0.04621690000021772,92a386aa00c56d0bb7caadb7a39d9fcda26cef7ade5955c850d32c041f250e4c,After branch construction: global time budget exhausted
scale_v2_baseline,2019-03-05_N8_C2,60.0,greedy_4,2019-03-05_N8_C2_greedy_4_s2.json,2,time_limit,1,46.0,44.0,4.545454545454546,0.39121540000019195,0.39728550000018004,60.00087900000017,0.007267799999908675,0.013814500000080443,20.805064000006496,27.309411199996475,6.841207300008591,0.03195329999994101,92a386aa00c56d0bb7caadb7a39d9fcda26cef7ade5955c850d32c041f250e4c,After branch construction: global time budget exhausted
scale_v2_baseline,2019-03-05_N8_C2,60.0,greedy_10,2019-03-05_N8_C2_greedy_10_s2.json,2,time_limit,1,49.0,44.0,11.363636363636363,0.40011200000003555,0.42556710000008025,60.002921400000105,0.007531699999844932,0.015675999999984924,21.639775499997995,26.998183899997912,6.501027900002327,0.04802580000000489,92a386aa00c56d0bb7caadb7a39d9fcda26cef7ade5955c850d32c041f250e4c,After pricing construction: global time budget exhausted
scale_v2_baseline,2019-03-05_N8_C2,60.0,exact,2019-03-05_N8_C2_exact_r2.json,0,time_limit,1,47.0,44.0,6.818181818181818,0.11828939999986687,0.11828939999986687,60.01759399999992,0.007297999999991589,0.013660999999956402,23.085502599999018,25.55277090000004,6.420018399994888,0.032896999999820764,92a386aa00c56d0bb7caadb7a39d9fcda26cef7ade5955c850d32c041f250e4c,After branch construction: global time budget exhausted
scale_v2_baseline,2019-03-05_N12_C3,60.0,compact,2019-03-05_N12_C3_compact.json,0,optimal,1,67.0,67.0,0.0,0.013948000000027605,0.03088279999997212,0.03346699999997327,,,,,,,92a386aa00c56d0bb7caadb7a39d9fcda26cef7ade5955c850d32c041f250e4c,
scale_v2_baseline,2019-03-05_N12_C3,60.0,qaia_50_4,2019-03-05_N12_C3_qaia_50_4_s0.json,0,optimal,1,67.0,67.0,0.0,0.8351095000000441,1.8915600000000268,1.9271066000001156,0.1024245000000974,0.026176500000019587,0.4070851000001312,0.0,1.2478382999997848,0.04687200000012126,92a386aa00c56d0bb7caadb7a39d9fcda26cef7ade5955c850d32c041f250e4c,
scale_v2_baseline,2019-03-05_N12_C3,60.0,qaia_200_10,2019-03-05_N12_C3_qaia_200_10_s0.json,0,time_limit,1,68.0,67.0,1.492537313432836,2.7184614999998757,2.7315784999998414,60.12995169999999,0.06771200000002864,0.02061160000016571,27.04977949999966,25.314494700000296,6.297107600000345,0.03770720000011352,92a386aa00c56d0bb7caadb7a39d9fcda26cef7ade5955c850d32c041f250e4c,After pricing construction: global time budget exhausted
scale_v2_baseline,2019-03-05_N12_C3,60.0,greedy_4,2019-03-05_N12_C3_greedy_4_s0.json,0,optimal,1,67.0,67.0,0.0,0.4261910000000171,0.43195089999994707,0.43969959999981256,0.01834129999997458,0.011576500000046508,0.09209640000017316,0.0,0.2841550000002826,0.013353899999856367,92a386aa00c56d0bb7caadb7a39d9fcda26cef7ade5955c850d32c041f250e4c,
scale_v2_baseline,2019-03-05_N12_C3,60.0,greedy_10,2019-03-05_N12_C3_greedy_10_s0.json,0,optimal,1,67.0,67.0,0.0,0.20781749999991916,31.705359000000044,31.807300499999883,0.017779499999960535,0.010804000000007363,14.693620399999645,13.640872399999125,2.679954900000439,0.01097370000002229,92a386aa00c56d0bb7caadb7a39d9fcda26cef7ade5955c850d32c041f250e4c,
scale_v2_baseline,2019-03-05_N12_C3,60.0,exact,2019-03-05_N12_C3_exact_r0.json,0,time_limit,1,68.0,67.0,1.492537313432836,0.22974890000000414,0.3870057999999972,60.29969180000012,0.019727799999827766,0.011354300000220974,27.32003249999866,26.0986503000006,5.446200099999942,0.020309100000076796,92a386aa00c56d0bb7caadb7a39d9fcda26cef7ade5955c850d32c041f250e4c,After pricing construction: global time budget exhausted
