batch,instance,budget,method,result,seed,seconds,objective,source
scale_v2_baseline,2019-03-05_N8_C2,60.0,greedy_4,2019-03-05_N8_C2_greedy_4_s2.json,2,0.39728550000018004,46.0,restricted_mip
scale_v2_baseline,2019-03-05_N8_C2,60.0,greedy_10,2019-03-05_N8_C2_greedy_10_s2.json,2,0.40011200000003555,74.0,restricted_mip
scale_v2_baseline,2019-03-05_N8_C2,60.0,greedy_10,2019-03-05_N8_C2_greedy_10_s2.json,2,0.4134504000001016,57.0,restricted_mip
scale_v2_baseline,2019-03-05_N8_C2,60.0,greedy_10,2019-03-05_N8_C2_greedy_10_s2.json,2,0.41561430000001565,53.0,restricted_mip
scale_v2_baseline,2019-03-05_N8_C2,60.0,greedy_10,2019-03-05_N8_C2_greedy_10_s2.json,2,0.41790609999998196,50.0,restricted_mip
scale_v2_baseline,2019-03-05_N8_C2,60.0,greedy_10,2019-03-05_N8_C2_greedy_10_s2.json,2,0.42556710000008025,49.0,restricted_mip
scale_v2_baseline,2019-03-05_N8_C2,60.0,exact,2019-03-05_N8_C2_exact_r2.json,0,0.11828939999986687,47.0,rmp_integer
scale_v2_baseline,2019-03-05_N12_C3,60.0,compact,2019-03-05_N12_C3_compact.json,0,0.013948000000027605,68.0,compact_mipsol
scale_v2_baseline,2019-03-05_N12_C3,60.0,compact,2019-03-05_N12_C3_compact.json,0,0.03088279999997212,67.0,compact_mipsol
scale_v2_baseline,2019-03-05_N12_C3,60.0,qaia_50_4,2019-03-05_N12_C3_qaia_50_4_s0.json,0,0.8351095000000441,74.0,rmp_integer
scale_v2_baseline,2019-03-05_N12_C3,60.0,qaia_50_4,2019-03-05_N12_C3_qaia_50_4_s0.json,0,1.882727000000159,68.0,restricted_mip
scale_v2_baseline,2019-03-05_N12_C3,60.0,qaia_50_4,2019-03-05_N12_C3_qaia_50_4_s0.json,0,1.8915600000000268,67.0,restricted_mip
scale_v2_baseline,2019-03-05_N12_C3,60.0,qaia_200_10,2019-03-05_N12_C3_qaia_200_10_s0.json,0,2.7184614999998757,74.0,restricted_mip
scale_v2_baseline,2019-03-05_N12_C3,60.0,qaia_200_10,2019-03-05_N12_C3_qaia_200_10_s0.json,0,2.7315784999998414,68.0,restricted_mip
scale_v2_baseline,2019-03-05_N12_C3,60.0,greedy_4,2019-03-05_N12_C3_greedy_4_s0.json,0,0.4261910000000171,72.0,restricted_mip
scale_v2_baseline,2019-03-05_N12_C3,60.0,greedy_4,2019-03-05_N12_C3_greedy_4_s0.json,0,0.43195089999994707,67.0,restricted_mip
scale_v2_baseline,2019-03-05_N12_C3,60.0,greedy_10,2019-03-05_N12_C3_greedy_10_s0.json,0,0.20781749999991916,70.0,rmp_integer
scale_v2_baseline,2019-03-05_N12_C3,60.0,greedy_10,2019-03-05_N12_C3_greedy_10_s0.json,0,29.111884099999997,69.0,rmp_integer
scale_v2_baseline,2019-03-05_N12_C3,60.0,greedy_10,2019-03-05_N12_C3_greedy_10_s0.json,0,31.705359000000044,67.0,rmp_integer
scale_v2_baseline,2019-03-05_N12_C3,60.0,exact,2019-03-05_N12_C3_exact_r0.json,0,0.22974890000000414,76.0,rmp_integer
scale_v2_baseline,2019-03-05_N12_C3,60.0,exact,2019-03-05_N12_C3_exact_r0.json,0,0.38052620000007664,73.0,restricted_mip
scale_v2_baseline,2019-03-05_N12_C3,60.0,exact,2019-03-05_N12_C3_exact_r0.json,0,0.3870057999999972,68.0,restricted_mip
scale_v2_baseline,2019-03-05_N12_C3,60.0,exact,2019-03-05_N12_C3_exact_r1.json,0,0.2324561000000358,76.0,rmp_integer
scale_v2_baseline,2019-03-05_N12_C3,60.0,exact,2019-03-05_N12_C3_exact_r1.json,0,0.3913514999999279,73.0,restricted_mip
scale_v2_baseline,2019-03-05_N12_C3,60.0,exact,2019-03-05_N12_C3_exact_r1.json,0,0.39827740000009726,68.0,restricted_mip
scale_v2_baseline,2019-03-05_N12_C3,60.0,greedy_10,2019-03-05_N12_C3_greedy_10_s1.json,1,0.21391610000000583,67.0,rmp_integer
scale_v2_baseline,2019-03-05_N12_C3,60.0,greedy_4,2019-03-05_N12_C3_greedy_4_s1.json,1,0.23813519999976052,74.0,rmp_integer
scale_v2_baseline,2019-03-05_N12_C3,60.0,greedy_4,2019-03-05_N12_C3_greedy_4_s1.json,1,0.4382267999999385,73.0,restricted_mip
scale_v2_baseline,2019-03-05_N12_C3,60.0,greedy_4,2019-03-05_N12_C3_greedy_4_s1.json,1,19.68784340000002,67.0,rmp_integer
scale_v2_baseline,2019-03-05_N12_C3,60.0,qaia_200_10,2019-03-05_N12_C3_qaia_200_10_s1.json,1,2.5092082999999548,70.0,restricted_mip
scale_v2_baseline,2019-03-05_N12_C3,60.0,qaia_200_10,2019-03-05_N12_C3_qaia_200_10_s1.json,1,2.5281181999998807,67.0,restricted_mip
scale_v2_baseline,2019-03-05_N12_C3,60.0,qaia_50_4,2019-03-05_N12_C3_qaia_50_4_s1.json,1,0.8970696999999745,74.0,rmp_integer
scale_v2_baseline,2019-03-05_N12_C3,60.0,qaia_50_4,2019-03-05_N12_C3_qaia_50_4_s1.json,1,1.7486165000000256,68.0,restricted_mip
scale_v2_baseline,2019-03-05_N12_C3,60.0,qaia_50_4,2019-03-05_N12_C3_qaia_50_4_s1.json,1,1.7565474999996695,67.0,restricted_mip
scale_v2_baseline,2019-03-05_N12_C3,60.0,qaia_50_4,2019-03-05_N12_C3_qaia_50_4_s2.json,2,0.8485587000000123,74.0,rmp_integer
scale_v2_baseline,2019-03-05_N12_C3,60.0,qaia_50_4,2019-03-05_N12_C3_qaia_50_4_s2.json,2,1.6781564000002618,68.0,restricted_mip
scale_v2_baseline,2019-03-05_N12_C3,60.0,qaia_50_4,2019-03-05_N12_C3_qaia_50_4_s2.json,2,1.6862424000000829,67.0,restricted_mip
scale_v2_baseline,2019-03-05_N12_C3,60.0,qaia_200_10,2019-03-05_N12_C3_qaia_200_10_s2.json,2,2.5916935000000194,67.0,restricted_mip
scale_v2_baseline,2019-03-05_N12_C3,60.0,greedy_4,2019-03-05_N12_C3_greedy_4_s2.json,2,0.5112920000001395,69.0,restricted_mip
scale_v2_baseline,2019-03-05_N12_C3,60.0,greedy_4,2019-03-05_N12_C3_greedy_4_s2.json,2,0.523305100000016,67.0,restricted_mip
scale_v2_baseline,2019-03-05_N12_C3,60.0,greedy_10,2019-03-05_N12_C3_greedy_10_s2.json,2,0.22150039999996807,70.0,rmp_integer
scale_v2_baseline,2019-03-05_N12_C3,60.0,greedy_10,2019-03-05_N12_C3_greedy_10_s2.json,2,57.96901700000035,68.0,rmp_integer
scale_v2_baseline,2019-03-05_N12_C3,60.0,exact,2019-03-05_N12_C3_exact_r2.json,0,0.22055409999984477,76.0,rmp_integer
scale_v2_baseline,2019-03-05_N12_C3,60.0,exact,2019-03-05_N12_C3_exact_r2.json,0,0.37821119999989605,73.0,restricted_mip
scale_v2_baseline,2019-03-05_N12_C3,60.0,exact,2019-03-05_N12_C3_exact_r2.json,0,0.38466650000009395,68.0,restricted_mip
