batch,instance,budget,completion_rows,checkpoint,method,seed,exact_repeat,method_objective,exact_objective,delta_vs_exact,outcome
acn_scale_v4_grid,2019-03-04_N20_C5,120.0,vehicle,60.0,qaia_50_4,0,0,65.0,64.0,1.0,exact
acn_scale_v4_grid,2019-03-04_N20_C5,120.0,vehicle,60.0,qaia_50_4,1,1,65.0,64.0,1.0,exact
acn_scale_v4_grid,2019-03-04_N20_C5,120.0,vehicle,60.0,qaia_50_4,2,2,65.0,62.0,3.0,exact
acn_scale_v4_grid,2019-03-04_N20_C5,120.0,vehicle,60.0,qaia_200_10,0,0,64.0,64.0,0.0,tie
acn_scale_v4_grid,2019-03-04_N20_C5,120.0,vehicle,60.0,qaia_200_10,1,1,65.0,64.0,1.0,exact
acn_scale_v4_grid,2019-03-04_N20_C5,120.0,vehicle,60.0,qaia_200_10,2,2,65.0,62.0,3.0,exact
acn_scale_v4_grid,2019-03-04_N20_C5,120.0,vehicle,60.0,greedy_4,0,0,64.0,64.0,0.0,tie
acn_scale_v4_grid,2019-03-04_N20_C5,120.0,vehicle,60.0,greedy_4,1,1,64.0,64.0,0.0,tie
acn_scale_v4_grid,2019-03-04_N20_C5,120.0,vehicle,60.0,greedy_4,2,2,65.0,62.0,3.0,exact
acn_scale_v4_grid,2019-03-04_N20_C5,120.0,vehicle,60.0,greedy_10,0,0,61.0,64.0,-3.0,method
acn_scale_v4_grid,2019-03-04_N20_C5,120.0,vehicle,60.0,greedy_10,1,1,63.0,64.0,-1.0,method
acn_scale_v4_grid,2019-03-04_N20_C5,120.0,vehicle,60.0,greedy_10,2,2,61.0,62.0,-1.0,method
acn_scale_v4_grid,2019-03-04_N20_C5,120.0,vehicle,120.0,qaia_50_4,0,0,65.0,64.0,1.0,exact
acn_scale_v4_grid,2019-03-04_N20_C5,120.0,vehicle,120.0,qaia_50_4,1,1,65.0,64.0,1.0,exact
acn_scale_v4_grid,2019-03-04_N20_C5,120.0,vehicle,120.0,qaia_50_4,2,2,65.0,62.0,3.0,exact
acn_scale_v4_grid,2019-03-04_N20_C5,120.0,vehicle,120.0,qaia_200_10,0,0,64.0,64.0,0.0,tie
acn_scale_v4_grid,2019-03-04_N20_C5,120.0,vehicle,120.0,qaia_200_10,1,1,65.0,64.0,1.0,exact
acn_scale_v4_grid,2019-03-04_N20_C5,120.0,vehicle,120.0,qaia_200_10,2,2,65.0,62.0,3.0,exact
acn_scale_v4_grid,2019-03-04_N20_C5,120.0,vehicle,120.0,greedy_4,0,0,64.0,64.0,0.0,tie
